"Name","SizeBytes","SkillName"
"soul-gun-pinterest-marketing-seo.zip","5493","pinterest-marketing-seo"
"soul-gun-plan-from-simulation.zip","613","plan-from-simulation"
"soul-gun-playwright-automation.zip","1454","playwright-automation"
"soul-gun-post-processing-stack.zip","2869","post-processing-stack"
"soul-gun-processor-from-scratch.zip","2449","processor-from-scratch"
"soul-gun-product-demo-workflow.zip","1214","product-demo-workflow"
"soul-gun-programming-language-from-scratch.zip","2312","programming-language-from-scratch"
"soul-gun-progressive-disclosure-protocol.zip","630","progressive-disclosure-protocol"
"soul-gun-pydantic-ai-agents.zip","1225","pydantic-ai-agents"
"soul-gun-regex-from-scratch.zip","3276","regex-from-scratch"
"soul-gun-report-generation.zip","613","report-generation"
"soul-gun-research-problem-formulation.zip","522","research-problem-formulation"
"soul-gun-research-subconscious.zip","3775","research-subconscious"
"soul-gun-root-cause-synthesis.zip","628","root-cause-synthesis"
"soul-gun-scout-agent.zip","2136","scout-agent"
"soul-gun-scribe-agent.zip","1968","scribe-agent"
"soul-gun-search-engine-from-scratch.zip","3013","search-engine-from-scratch"
"soul-gun-service-manual-methodology.zip","2273","service-manual-methodology"
"soul-gun-shell-from-scratch.zip","3218","shell-from-scratch"
"soul-gun-skill-factory.zip","5217","skill-factory"
"soul-gun-social-media-agent-competition.zip","4773","social-media-agent-competition"
"soul-gun-social-media-automation.zip","2070","social-media-automation"
"soul-gun-soul-maker.zip","5231","soul-maker"
"soul-gun-soul-media-marketing.zip","5175","soul-media-marketing"
"soul-gun-soulguns-agent-patterns.zip","7357","soulguns-agent-patterns"
"soul-gun-soulguns-architecture.zip","6518","soulguns-architecture"
"soul-gun-soulguns-design-systems.zip","5795","soulguns-design-systems"
"soul-gun-soulguns-mcp.zip","8187","soulguns-mcp"
"soul-gun-soulguns-observability.zip","8169","soulguns-observability"
"soul-gun-soulguns-testing.zip","9896","soulguns-testing"
"soul-gun-soulguns-ts.zip","8247","soulguns-ts"
"soul-gun-spatial-world-interaction.zip","609","spatial-world-interaction"
"soul-gun-sqlite-from-scratch.zip","4690","sqlite-from-scratch"
"soul-gun-structural-diff-analysis.zip","632","structural-diff-analysis"
"soul-gun-template-engine-from-scratch.zip","2740","template-engine-from-scratch"
"soul-gun-text-editor-from-scratch.zip","2999","text-editor-from-scratch"
"soul-gun-threejs-3d-ui.zip","4754","threejs-3d-ui"
"soul-gun-threejs-ecosystem.zip","2665","threejs-ecosystem"
"soul-gun-threejs-grid-city.zip","4120","threejs-grid-city"
"soul-gun-threejs-particle-fx.zip","3330","threejs-particle-fx"
"soul-gun-tiered-skill-evolution.zip","629","tiered-skill-evolution"
"soul-gun-ultra-review.zip","3038","ultra-review"
"soul-gun-verifiable-goal-definition.zip","653","verifiable-goal-definition"
"soul-gun-web-browser-from-scratch.zip","5400","web-browser-from-scratch"
"soul-gun-webserver-from-scratch.zip","4210","webserver-from-scratch"
"soul-gun-world-model-simulation.zip","619","world-model-simulation"
